project:::package:::class:::method
dcs-core-services:::org.dcs.tools.services.impl:::MappingServiceImpl.java:::createUser(MappingRequestVo)
dcs-core-services:::org.dcs.tools.services.impl:::UserActivityServiceImpl.java:::mapperLog()
